rank,track,team,run_id,bt_rating,ci_low_95,ci_high_95,n_battles
71,fr,arampageos,DUTH_Task4_FR_TRAINSEL_BUCKET_00,961,911,1019,259
72,fr,ezrasmink,UAms_task4_Mistral-7B-Instruct-v0.2,961,910,1001,314
73,fr,arampageos,DUTH_Task4_FR_SAFE_MIX_TOP80_PATCH_B00,959,916,1013,288
74,fr,arampageos,DUTH_Task4_FR_FAMILY_TF_TOP12,956,906,1012,226
75,fr,arampageos,DUTH_Task4_FR_SAFE_PLUS_TOP80_B12_00,956,910,999,293
76,fr,arampageos,DUTH_Task4_BASELINE_FR_SAFE,955,912,1001,288
77,fr,arampageos,DUTH_Task4_FR_ANALYSIS_TOP80,954,903,1001,209
78,fr,arampageos,DUTH_Task4_FR_SAFE_PLUS_TOP80_B12_01,953,898,1007,301
79,fr,arampageos,DUTH_Task4_FR_FAMILY_BUCKET_00,952,905,1007,231
80,fr,arampageos,DUTH_Task4_FR_BEST894_DROP_ID_fr_1382,951,894,1014,187
81,fr,arampageos,DUTH_Task4_FR_B00_PLUS_SENSEA_BUCKET01,951,894,1006,185
82,fr,arampageos,DUTH_Task4_FR_TRAINSEL_TOP1,949,901,993,303
83,fr,arampageos,DUTH_Task4_FR_BEST894_DROP_ID_fr_1390,947,902,1005,191
84,fr,arampageos,DUTH_Task4_FR_BEST894_DROP_ID_fr_0904,942,873,1001,173
85,fr,arampageos,DUTH_Task4_BASELINE_FR_TOP80,941,888,983,252
86,fr,arampageos,DUTH_Task4_FR_TRAINSEL_TOP5,940,890,979,287
87,fr,arampageos,DUTH_Task4_FR_SAFE_PLUS_TOP80_FULL,940,896,988,259
88,fr,arampageos,DUTH_Task4_FR_AN60_PUNWORD_SENSEA_UNPATCHED_BUCKET_10,938,884,980,195
89,fr,arampageos,DUTH_Task4_FR_FAMILY_ONLY_QUESTION,937,889,981,196
90,fr,arampageos,DUTH_Task4_FR_FAMILY_TOP1,936,877,986,169
91,fr,arampageos,DUTH_Task4_FR_TRAINSEL2_TOP2,935,875,987,234
92,fr,arampageos,DUTH_Task4_FR_TRAINSEL_BUCKET_01,934,882,972,297
93,fr,arampageos,DUTH_Task4_FR_FAMILY_TOP8,930,871,983,180
94,fr,arampageos,DUTH_Task4_FR_BEST894_DROP_ID_fr_0093,927,865,989,190
95,fr,arampageos,DUTH_Task4_FR_BEST894_PLUS_MIXSHORT_B00,927,878,974,212
96,fr,arampageos,DUTH_Task4_FR_BEST894_DROP_ID_fr_1093,927,866,978,196
97,fr,arampageos,DUTH_Task4_FR_BEST891_PLUS_SENSEA_B02,922,886,973,204
98,fr,arampageos,DUTH_Task4_FR_FAMILY_TOP20,922,874,959,213
99,fr,arampageos,DUTH_Task4_FR_BEST894_DROP_ID_fr_1452,919,862,960,217
100,fr,arampageos,DUTH_Task4_FR_TRAINSEL_TOP3,917,854,968,292
101,fr,arampageos,DUTH_Task4_FR_B00_PLUS_SENSEA_BUCKET00,916,855,974,194
102,fr,arampageos,DUTH_Task4_FR_B00_PLUS_SENSEA_BUCKET11,906,853,965,197
103,fr,arampageos,DUTH_Task4_FR_BEST891_PLUS_SENSEA_B04,902,852,969,201
104,fr,arampageos,DUTH_Task4_FR_TRAINSEL_TOP20,902,863,953,282
105,fr,arampageos,DUTH_Task4_FR_BEST894_DROP_ID_fr_1395,900,844,948,192
106,fr,arampageos,DUTH_Task4_FR_BEST891_PLUS_SENSEA_B01,898,840,936,194
107,fr,arampageos,DUTH_Task4_FR_BEST894_CONFIRM,892,833,949,166
108,fr,arampageos,DUTH_Task4_FR_TRAINSEL2_TOP8,891,839,934,289
109,fr,arampageos,DUTH_Task4_FR_BEST894_DROP_ID_fr_1615,885,823,936,185
110,fr,arampageos,DUTH_Task4_FR_BEST891_PLUS_SENSEA_B03,877,818,915,217
111,fr,arampageos,DUTH_Task4_FR_BEST891_PLUS_PUNSENSE_B11,875,838,929,208
112,fr,arampageos,DUTH_Task4_FR_BEST894_PLUS_SENSEA_B01,820,763,867,210
113,fr,arampageos,DUTH_Task4_BASELINE_FR_PATCH,806,746,846,274
114,fr,arampageos,DUTH_Task4_BASELINE_FR_ALLRULE,798,754,834,305
115,fr,arampageos,DUTH_Task4_NEARESTREF_FR,692,622,728,342
116,fr,arampageos,DUTH_Task4_FR_FAMILY_TOP60,692,625,737,271
117,fr,liana87,UBO_task3_mistral_contrepetrie,682,630,719,378
118,fr,arampageos,DUTH_Task4_FR_TESTFIELD_DOUBLE_MEANING,668,625,711,363
119,fr,liana87,UBO_task3_llama_contrepetrie,662,613,703,348
120,fr,liana87,UBO_task3_gemini-3-flash_contrepetrie,655,601,706,331
121,fr,liana87,UBO_task3_qwen-3-flash_contrepetrie,644,577,694,356
122,fr,arampageos,DUTH_Task4_BASELINE_FR_PUNWORD,642,591,690,340
123,fr,liana87,UBO_task3_gemma_contrepetrie,618,564,661,355
124,fr,arampageos,DUTH_Task4_FR_FAMILY_TOP100,585,515,666,272
125,fr,arampageos,DUTH_Task4_FR_TESTFIELD_QA_BASELINE,570,517,612,321
126,fr,ezrasmink,UAms_task4_flan-t5-large,558,490,604,329
127,fr,arampageos,DUTH_Task4_FR_TESTFIELD_COMPACT_HINT,509,445,563,333
128,fr,ezrasmink,UAms_task4_flan-t5-base,508,442,567,330
129,fr,arampageos,DUTH_Task4_FR_TESTFIELD_SENSES_ONLY,462,397,515,359
130,fr,arampageos,DUTH_Task4_FR_TESTFIELD_MIX_SHORT,425,358,478,304
131,fr,arampageos,DUTH_Task4_FR_TESTFIELD_PUNWORD_SENSES,414,355,464,363
132,fr,arampageos,DUTH_Task4_FR_TESTFIELD_PUNWORD,408,351,455,345
133,fr,arampageos,DUTH_Task4_FR_TESTFIELD_PUNWORD_SENSEA,321,238,390,316
